地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
東天田町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
東河原町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
東俣町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
福島町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
間戸町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
南西俣町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
南野津又町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
南宮地町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
薬師町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
横越町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
吉山町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
蒲生町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
茱崎町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
大味町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
居倉町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
浜北山町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
城有町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
赤坂町,越廼,*1,*1,*1,*1,*1,*1,*1,*1,越廼（ガラガラ山）
八ツ俣町,越廼,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,越廼
大森町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
山内町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
笹谷町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
滝波町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
本折町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
清水畑町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
平尾町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
上天下町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
下天下町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
加茂内町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
加茂町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
三留町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
清水杉谷町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
